journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
arq-Architectural Research Quarterly,ARQ-ARCHIT RES Q,ARCHITECTURE,0.2,0.3,N/A,N/A,4
Arqueologia,ARQUEOLOGIA-ARGENTIN,ARCHAEOLOGY,0.6,0.5,N/A,N/A,4
Arqueologia de la Arquitectura,ARQUEOL ARQUIT,ARCHAEOLOGY,0.6,0.6,N/A,N/A,4
Arqueologia Iberoamericana,ARQUEOL IBEROAM,ARCHAEOLOGY,0.5,0.6,N/A,N/A,4
Arqueologia y Territorio Medieval,ARQUEOL TERRIT MEDIE,MEDIEVAL & RENAISSANCE STUDIES,0.6,0.5,N/A,N/A,4
Arquitecturas del Sur,ARQUIT SUR,ARCHITECTURE,0.3,0.3,N/A,N/A,4
Arquitetura Revista,ARQUITETURA REV,ARCHITECTURE,0.1,0.3,N/A,N/A,4
ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA,ARQ BRAS MED VET ZOO,VETERINARY SCIENCES,0.4,0.4,Q4,137/167,4
Arquivo Maaravi-Revista Digital de Estudos Judaicos da UFMG,ARQ MAARAVI,"HUMANITIES, MULTIDISCIPLINARY",<0.1,<0.1,N/A,N/A,4
Arquivos Brasileiros de Cardiologia,ARQ BRAS CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,2,2,Q3,118/220,4
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,ARQ BRAS OFTALMOL,OPHTHALMOLOGY,1.1,1,Q3,70/95,4
ARQUIVOS BRASILEROS DE PSICOLOGIA,ARQ BRAS PSICOL APL,"PSYCHOLOGY, MULTIDISCIPLINARY",0.1,0.2,Q4,212/218,4
ARQUIVOS DE NEURO-PSIQUIATRIA,ARQ NEURO-PSIQUIAT,PSYCHIATRY,1,1.4,Q4,219/276,4
Arrancada,ARRANCADA,"HOSPITALITY, LEISURE, SPORT & TOURISM",0.3,0.2,Q4,130/139,4
Array,ARRAY-NY,"COMPUTER SCIENCE, THEORY & METHODS",2.3,N/A,Q2,52/143,4
Arrhythmia & Electrophysiology Review,ARRHYTH ELECTROPHYSI,CARDIAC & CARDIOVASCULAR SYSTEMS,2.6,3.3,Q2,84/220,3
Ars & Humanitas: Journal of Arts and Humanities,ARS HUMANIT,"HUMANITIES, MULTIDISCIPLINARY",0.1,0.1,N/A,N/A,4
Ars Adriatica,ARS ADRIAT,ART,0.2,0.1,N/A,N/A,3
Ars Bilduma,ARS BILDUMA,ART,0.1,0.1,N/A,N/A,4
Ars Brevis,ARS BREVIS,"HUMANITIES, MULTIDISCIPLINARY",<0.1,<0.1,N/A,N/A,4
Ars Judaica-The Bar Ilan Journal of Jewish Art,ARS JUDAICA,ART,<0.1,0.1,N/A,N/A,3
ARS Mathematica Contemporanea,ARS MATH CONTEMP,"MATHEMATICS, APPLIED",0.6,0.6,Q4,256/331,4
ARS Orientalis,ARS ORIENTALIS,ASIAN STUDIES,0.2,0.3,N/A,N/A,3
Ars Pharmaceutica,ARS PHARM,PHARMACOLOGY & PHARMACY,0.4,0.5,Q4,335/354,4
Art & Perception,ART PERCEPT,ART,1.1,0.9,N/A,N/A,1
ART BULLETIN,ART BULL,ART,0.4,0.5,N/A,N/A,1
Art Design & Communication in Higher Education,ART DES COMMUN HIGH,ART,0.3,0.4,N/A,N/A,4
Art Documentation,ART DOC,ART,0.2,0.2,N/A,N/A,3
ART HISTORY,ART HIST,ART,0.3,0.5,N/A,N/A,2
ART IN AMERICA,ART AM,ART,0.1,0.1,N/A,N/A,4
ART JOURNAL,ART J,ART,0.2,0.3,N/A,N/A,3
Art Style,ART STYLE,ART,0.1,0.1,N/A,N/A,4
Art Therapy,ART THER,"PSYCHOLOGY, CLINICAL",1.3,1.6,Q3,124/180,4
ArtCultura-Revista de Historia Cultura e Arte,ARTCULTURA,"HUMANITIES, MULTIDISCIPLINARY",0.1,<0.1,N/A,N/A,3
Arte Individuo y Sociedad,ARTE INDIVIDUO SOC,ART,0.5,0.6,N/A,N/A,3
Arte y Ciudad-Revista de Investigacion,ARTE CIUDAD-REV INVE,ART,<0.1,<0.1,N/A,N/A,4
Arte y Politicas de Identidad,ARTE POLIT IDENTIDAD,ART,0.2,0.2,N/A,N/A,4
Arterial Hypertension,ARTER HYPERTENS,PERIPHERAL VASCULAR DISEASE,0.4,0.4,Q4,88/96,4
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,ARTERIOSCL THROM VAS,PERIPHERAL VASCULAR DISEASE,7.4,8.1,Q1,5/96,1
Artery Research,ARTERY RES,PERIPHERAL VASCULAR DISEASE,0.9,0.7,Q4,82/96,4
Arteterapia-Papeles de Arteterapia y Educacion Artistica para la Inclusion Social,ARTETERAPIA,REHABILITATION,0.3,0.4,Q4,164/169,4
ARTFORUM INTERNATIONAL,ARTFORUM INT,ART,<0.1,0.1,N/A,N/A,4
Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,RHEUMATOLOGY,11.4,11.4,Q1,4/57,1
ARTHRITIS CARE & RESEARCH,ARTHRIT CARE RES,RHEUMATOLOGY,3.7,4.2,Q1,14/57,2
ARTHRITIS RESEARCH & THERAPY,ARTHRITIS RES THER,RHEUMATOLOGY,4.4,4.9,Q1,12/57,2
Arthroplasty,ARTHROPLASTY,ORTHOPEDICS,2.3,2.3,Q2,38/136,3
Arthroplasty Today,ARTHROPLAST TODAY,ORTHOPEDICS,1.5,N/A,Q3,76/136,4
ARTHROPOD STRUCTURE & DEVELOPMENT,ARTHROPOD STRUCT DEV,ENTOMOLOGY,1.7,1.7,Q2,34/109,2
Arthropod Systematics & Phylogeny,ARTHROPOD SYST PHYLO,ENTOMOLOGY,1.5,1.8,Q2,41/109,2
ARTHROPODA SELECTA,ARTHROPODA SEL,ENTOMOLOGY,0.7,0.6,Q4,82/109,4
Arthropod-Plant Interactions,ARTHROPOD-PLANT INTE,ENTOMOLOGY,1.2,1.7,Q3,59/109,3
Arthroscopy Techniques,ARTHROSC TEC,ORTHOPEDICS,1.2,1.3,Q3,94/136,4
ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY,ARTHROSCOPY,SURGERY,4.4,4.3,Q1,21/290,2
ARTHROSKOPIE,ARTHROSKOPIE,SURGERY,0.1,0.1,Q4,282/290,4
Arthur Miller Journal,ARTHUR MILLER J,THEATER,0.1,0.1,N/A,N/A,3
Arthuriana,ARTHURIANA,MEDIEVAL & RENAISSANCE STUDIES,0.5,0.4,N/A,N/A,2
Arti Musices,ARTI MUSIC,MUSIC,<0.1,0.1,N/A,N/A,3
ARTIBUS ASIAE,ARTIBUS ASIAE,ASIAN STUDIES,0.1,0.1,N/A,N/A,3
Artibus et Historiae,ARTIBUS HIST,ART,0.1,0.1,N/A,N/A,2
Artifara-Revista de Lenguas y Literaturas Ibericas y Latinoamericanas,ARTIFARA,LANGUAGE & LINGUISTICS,0.1,0.1,N/A,N/A,4
Artificial Cells Nanomedicine and Biotechnology,ARTIF CELL NANOMED B,"MATERIALS SCIENCE, BIOMATERIALS",4.5,5.1,Q2,22/53,2
ARTIFICIAL INTELLIGENCE,ARTIF INTELL-AMST,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",5.1,4.8,Q1,44/197,2
Artificial Intelligence and Law,ARTIF INTELL LAW,LAW,3.1,3.6,Q1,8/421,2
Artificial Intelligence in Agriculture,ARTIF INTELL AGR,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",8.2,N/A,Q1,19/197,1
Artificial Intelligence in Geosciences,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Artificial Intelligence in Medicine,ARTIF INTELL MED,MEDICAL INFORMATICS,6.1,7.1,Q1,4/44,2
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",10.7,11.7,Q1,9/197,1
ARTIFICIAL LIFE,ARTIF LIFE,"COMPUTER SCIENCE, THEORY & METHODS",1.6,1.7,Q2,69/143,4
Artificial Life and Robotics,ARTIF LIFE ROBOT,ROBOTICS,0.8,0.8,Q4,43/46,4
ARTIFICIAL ORGANS,ARTIF ORGANS,TRANSPLANTATION,2.2,2.3,Q3,16/31,4
Artificial Satellites-Journal of Planetary Geodesy,ARTIF SATELL,ASTRONOMY & ASTROPHYSICS,0.7,0.7,Q4,70/84,4
ARTMargins,ARTMARGINS-CAMBRIDGE,ART,0.2,0.2,N/A,N/A,3
Artnodes,ARTNODES,"HUMANITIES, MULTIDISCIPLINARY",0.2,0.3,N/A,N/A,4
Arts,ARTS,"HUMANITIES, MULTIDISCIPLINARY",0.3,0.5,N/A,N/A,3
Arts & Health,ARTS HEALTH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,2.2,Q3,239/403,3
Arts and Humanities in Higher Education,ARTS HUM HIGH EDUC,EDUCATION & EDUCATIONAL RESEARCH,1,1,Q3,428/756,4
Arts and the Market,ARTS MARK,BUSINESS,0.7,0.6,Q4,261/302,4
ARTS IN PSYCHOTHERAPY,ART PSYCHOTHER,REHABILITATION,1.5,1.8,Q3,87/169,4
ARTS OF ASIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Art-Sanat,ART-SANAT,ART,0.3,0.2,N/A,N/A,4
Artseduca,ARTSEDUCA,"HUMANITIES, MULTIDISCIPLINARY",0.3,0.3,N/A,N/A,N/A
ARYA Atherosclerosis,ARYA ATHEROSCLER,CARDIAC & CARDIOVASCULAR SYSTEMS,0.5,0.9,Q4,198/220,4
ARYS-Antiguedad Religiones y Sociedades,ARYS-ANTIG RELIG SOC,RELIGION,0.1,0.3,N/A,N/A,4
ASAIO JOURNAL,ASAIO J,TRANSPLANTATION,3.1,2.8,Q2,11/31,3
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part A-Civil Engineering,ASCE-ASME J RISK U A,"ENGINEERING, CIVIL",2.3,2.4,Q2,73/181,3
ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part B-Mechanical Engineering,ASCE-ASME J RISK U B,"ENGINEERING, MULTIDISCIPLINARY",1.8,1.5,Q2,66/179,4
Aschkenas-Zeitschrift fuer Geschichte und Kultur der Juden,ASCHKENAS,"HUMANITIES, MULTIDISCIPLINARY",<0.1,<0.1,N/A,N/A,4
Asclepio-Revista de Historia de la Medicina y de la Ciencia,ASCLEPIO,HISTORY & PHILOSOPHY OF SCIENCE,0.2,0.3,Q4,85/104,4
ASEAN Journal of Psychiatry,ASEAN J PSYCHIATR,PSYCHIATRY,0.1,N/A,Q4,273/276,N/A
ASHRAE JOURNAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asia & the Pacific Policy Studies,ASIA PAC POLICY STUD,AREA STUDIES,1.4,2.1,Q1,23/176,4
Asia Europe Journal,ASIA EUR J,INTERNATIONAL RELATIONS,1.6,1.6,Q2,63/165,3
Asia Pacific Allergy,ASIA PAC ALLERGY,ALLERGY,1.6,1.7,Q3,27/39,4
Asia Pacific Business Review,ASIA PAC BUS REV,MANAGEMENT,2,2.6,Q3,242/401,4
Asia Pacific Education Review,ASIA PAC EDUC REV,EDUCATION & EDUCATIONAL RESEARCH,2.3,2.6,Q1,156/756,3
Asia Pacific Journal of Anthropology,ASIA PAC J ANTHROPOL,ANTHROPOLOGY,0.7,1,Q3,81/139,3
ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION,ASIA PAC J CLIN NUTR,NUTRITION & DIETETICS,1.3,1.7,Q4,91/114,4
Asia Pacific Journal of Counselling and Psychotherapy,ASIA PAC J COUNS PSY,"PSYCHOLOGY, CLINICAL",0.2,0.6,Q4,176/180,4
Asia Pacific Journal of Education,ASIA PAC J EDUC,EDUCATION & EDUCATIONAL RESEARCH,1.6,2.2,Q2,277/756,4
Asia Pacific Journal of Environmental Law,ASIA PAC J ENVIRON,LAW,0.3,0.4,Q3,267/421,4
Asia Pacific Journal of Health Management,ASIA-PAC J HEALTH MA,HEALTH POLICY & SERVICES,0.5,0.6,Q4,116/118,4
Asia Pacific Journal of Human Resources,ASIA PAC J HUM RESOU,MANAGEMENT,3.9,4.3,Q2,125/401,3
Asia Pacific Journal of Innovation and Entrepreneurship,ASIA PAC J INNOV ENT,BUSINESS,3.9,3.9,Q2,100/302,3
Asia Pacific Journal of Management,ASIA PAC J MANAG,MANAGEMENT,4.9,5.6,Q1,85/401,3
Asia Pacific Journal of Marketing and Logistics,ASIA PAC J MARKET LO,BUSINESS,3.9,4.6,Q2,100/302,3
Asia Pacific Journal of Public Administration,ASIA PAC J PUBLIC AM,PUBLIC ADMINISTRATION,1.6,1.5,Q3,55/91,4
ASIA PACIFIC JOURNAL OF SOCIAL WORK AND DEVELOPMENT,ASIA PAC J SOC WORK,SOCIAL WORK,1,1.7,Q3,64/91,4
Asia Pacific Journal of Tourism Research,ASIA PAC J TOUR RES,"HOSPITALITY, LEISURE, SPORT & TOURISM",4.3,4.4,Q1,24/139,3
Asia Pacific Law Review,ASIA PAC LAW REV,LAW,1,1.1,Q2,124/421,3
Asia Pacific Management Review,ASIA PAC MANAG REV,MANAGEMENT,5.5,4.8,Q1,71/401,2
Asia Pacific Scholar,ASIA PAC SCHOLAR,"EDUCATION, SCIENTIFIC DISCIPLINES",0.6,N/A,Q4,68/85,4
Asia Pacific Translation and Intercultural Studies,ASIA PAC TRANSL INTE,LINGUISTICS,0.7,N/A,Q3,177/297,3
Asia Pacific Viewpoint,ASIA PAC VIEWP,GEOGRAPHY,1.8,2,Q2,61/171,3
Asian Academy of Management Journal,ASIAN ACAD MANAG J,MANAGEMENT,1.2,1.3,Q4,304/401,4
Asian Academy of Management Journal of Accounting and Finance,ASIAN ACAD MANAG J A,"BUSINESS, FINANCE",0.7,0.9,Q4,181/231,4
Asian Affairs,ASIAN AFF,AREA STUDIES,1,1.2,Q2,50/176,3
Asian American Journal of Psychology,ASIAN AM J PSYCHOL,"PSYCHOLOGY, MULTIDISCIPLINARY",2.4,2.6,Q2,65/218,2
Asian and African Studies,ASIAN AFR STUD,"HUMANITIES, MULTIDISCIPLINARY",0.2,0.2,N/A,N/A,3
Asian and Pacific Migration Journal,ASIAN PAC MIGR J,DEMOGRAPHY,1.4,1.5,Q3,28/49,3
Asian Bioethics Review,ASIAN BIOETHICS REV,MEDICAL ETHICS,1.3,1.9,Q3,16/23,3
Asian Biomedicine,ASIAN BIOMED,"MEDICINE, RESEARCH & EXPERIMENTAL",0.4,0.6,Q4,175/189,4
Asian Biotechnology and Development Review,ASIAN BIOTECHN DEV R,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,<0.1,0.1,Q4,174/174,4
Asian Business & Management,ASIAN BUS MANAG,MANAGEMENT,2.2,3.1,Q3,233/401,4
Asian Case Research Journal,ASIAN CASE RES J,BUSINESS,0.1,0.1,Q4,295/302,4
Asian Cinema,ASIAN CINE,"FILM, RADIO, TELEVISION",0.3,0.3,N/A,N/A,3
Asian Development Review,ASIAN DEVELOP REV,ECONOMICS,1,N/A,Q3,384/597,4
Asian Diasporic Visual Cultures and the Americas,ASIAN DIASPOR VISUAL,"HUMANITIES, MULTIDISCIPLINARY",<0.1,N/A,N/A,N/A,4
Asian Economic Journal,ASIAN ECON J,ECONOMICS,1,1,Q3,384/597,4
Asian Economic Papers,ASIAN ECON PAP,ECONOMICS,5.3,2.7,Q1,49/597,3
Asian Economic Policy Review,ASIAN ECON POLICY R,ECONOMICS,4.5,4.1,Q1,61/597,3
Asian Education and Development Studies,ASIAN EDUC DEV STUD,EDUCATION & EDUCATIONAL RESEARCH,2.3,1.4,Q1,156/756,4
Asian Englishes,ASIAN ENGL,LINGUISTICS,1.6,1.5,Q1,73/297,2
Asian Ethnicity,ASIAN ETHN,ETHNIC STUDIES,0.9,1.2,Q3,24/39,3
Asian Geographer,ASIAN GEOGR,GEOGRAPHY,1.8,1.6,Q2,61/171,3
Asian Herpetological Research,ASIAN HERPETOL RES,ZOOLOGY,1.2,1.2,Q2,84/180,3
Asian Journal of Accounting and Governance,ASIAN J ACCOUNT GOV,"BUSINESS, FINANCE",0.3,0.6,Q4,209/231,4
Asian Journal of Agriculture and Biology,ASIAN J AGR BIOL,"AGRICULTURE, MULTIDISCIPLINARY",1.6,0.9,Q2,34/89,4
Asian Journal of Agriculture and Development,ASIAN J AGRIC DEV,AGRONOMY,0.5,0.8,Q4,100/125,4
ASIAN JOURNAL OF ANDROLOGY,ASIAN J ANDROL,UROLOGY & NEPHROLOGY,3,2.7,Q1,29/126,2
Asian Journal of Applied Economics,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asian Journal of Atmospheric Environment,ASIAN J ATMOS ENVIRO,METEOROLOGY & ATMOSPHERIC SCIENCES,1.1,1.4,Q4,98/110,4
Asian Journal of Business and Accounting,ASIAN J BUS ACCOUNT,"BUSINESS, FINANCE",0.8,1,Q4,175/231,4
Asian Journal of Business Ethics,ASIAN J BUS ETHICS,ETHICS,1.9,1.6,Q2,24/77,3
Asian Journal of Communication,ASIAN J COMMUN,COMMUNICATION,1.5,2.4,Q2,91/227,3
Asian Journal of Comparative Politics,ASIAN J COMP POLITIC,POLITICAL SCIENCE,1,1,Q3,185/317,3
ASIAN JOURNAL OF CONTROL,ASIAN J CONTROL,AUTOMATION & CONTROL SYSTEMS,2.7,2.3,Q2,37/84,4
Asian Journal of Criminology,ASIAN J CRIMINOL,CRIMINOLOGY & PENOLOGY,1.8,1.9,Q2,31/113,3
Asian Journal of Endoscopic Surgery,ASIAN J ENDOSC SURG,ORTHOPEDICS,0.9,1,Q4,105/136,4
Asian Journal of International Law,ASIAN J INT LAW,LAW,0.7,0.8,Q2,171/421,4
Asian Journal of Law and Economics,ASIAN J LAW ECON,LAW,0.5,0.6,Q3,211/421,4
Asian Journal of Law and Society,ASIAN J LAW SOC,LAW,0.6,1,Q2,186/421,4
Asian Journal of Management Cases,ASIAN J MANAG CASES,MANAGEMENT,0.1,0.1,Q4,392/401,4
Asian Journal of Mathematics,ASIAN J MATH,"MATHEMATICS, APPLIED",0.5,0.7,Q4,281/331,4
Asian Journal of Middle Eastern and Islamic Studies,ASIAN J MIDDLE E ISL,INTERNATIONAL RELATIONS,0.5,N/A,Q4,127/165,4
Asian Journal of Organic Chemistry,ASIAN J ORG CHEM,"CHEMISTRY, ORGANIC",2.8,2.8,Q1,14/58,3
Asian Journal of Pharmaceutical Research and Health Care,ASIAN J PHARM RES HE,PHARMACOLOGY & PHARMACY,0.2,0.2,Q4,350/354,4
Asian Journal of Pharmaceutical Sciences,ASIAN J PHARM SCI,PHARMACOLOGY & PHARMACY,10.7,9,Q1,11/354,1
Asian Journal of Pharmaceutics,ASIAN J PHARM,PHARMACOLOGY & PHARMACY,0.4,0.5,Q4,335/354,4
Asian Journal of Political Science,ASIAN J POLIT SCI,POLITICAL SCIENCE,0.6,1.1,Q3,232/317,4
Asian Journal of Psychiatry,ASIAN J PSYCHIATR,PSYCHIATRY,3.8,4.8,Q1,62/276,3
Asian Journal of Shipping and Logistics,ASIAN J SHIPPING LOG,TRANSPORTATION,3.3,3,Q2,26/57,3
Asian Journal of Social Health and Behavior,ASIAN J SOC HEAL BEH,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",5,N/A,Q1,33/403,2
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,ASIAN J SOC PSYCHOL,"PSYCHOLOGY, SOCIAL",2.1,2.1,Q3,43/76,3
Asian Journal of Social Science,ASIAN J SOC SCI,"SOCIAL SCIENCES, INTERDISCIPLINARY",1,0.9,Q2,124/263,4
Asian Journal of Surgery,ASIAN J SURG,SURGERY,3.5,3.1,Q1,31/290,3
Asian Journal of Technology Innovation,ASIAN J TECHNOL INNO,ECONOMICS,1.8,2.3,Q2,241/597,4
Asian Journal of Transfusion Science,ASIAN J TRANSF SCI,HEMATOLOGY,0.6,0.7,Q4,89/97,4
Asian Journal of Urology,ASIAN J UROL,UROLOGY & NEPHROLOGY,2.4,2.7,Q2,46/126,3
Asian Journal of Water Environment and Pollution,ASIAN J WATER ENVIRO,ENVIRONMENTAL SCIENCES,0.4,0.6,Q4,349/358,4
ASIAN JOURNAL OF WOMENS STUDIES,ASIAN J WOMEN STUD,WOMENS STUDIES,0.9,1.3,Q3,39/66,4
Asian Journal of WTO & International Health Law and Policy,ASIAN J WTO INT HEAL,LAW,0.3,0.4,Q3,267/421,4
ASIAN MUSIC,ASIAN MUSIC,MUSIC,0.2,0.3,N/A,N/A,2
Asian Myrmecology,ASIAN MYRMECOL,ENTOMOLOGY,1.3,1,Q2,52/109,3
Asian Nursing Research,ASIAN NURS RES,NURSING,2.1,2.8,Q2,52/191,4
Asian Oncology Nursing,ASIAN ONCOL NURS,NURSING,0.4,0.5,Q4,174/191,4
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,ASIAN PAC J ALLERGY,IMMUNOLOGY,2.3,2.5,Q3,135/181,4
Asian Pacific Journal of Reproduction,ASIAN PAC J REPROD,REPRODUCTIVE BIOLOGY,0.5,N/A,Q4,39/39,4
Asian Pacific Journal of Tropical Biomedicine,ASIAN PAC J TROP BIO,TROPICAL MEDICINE,1.7,1.5,Q3,20/28,4
Asian Pacific Journal of Tropical Medicine,ASIAN PAC J TROP MED,TROPICAL MEDICINE,1.9,1.5,Q2,14/28,4
Asian Perspective,ASIAN PERSPECT-SEOUL,INTERNATIONAL RELATIONS,1.3,1.1,Q2,76/165,3
Asian Perspectives-The Journal of Archaeology for Asia and the Pacific,ASIAN PERSPECT,ARCHAEOLOGY,0.7,0.7,N/A,N/A,4
ASIAN PHILOSOPHY,ASIAN PHILOS,PHILOSOPHY,0.5,0.5,N/A,N/A,3
Asian Politics & Policy,ASIAN POLIT POLICY,POLITICAL SCIENCE,1,1,Q3,185/317,4
Asian Population Studies,ASIAN POPUL STUD,DEMOGRAPHY,1.5,2.3,Q2,23/49,3
Asian Review of Accounting,ASIAN REV ACCOUNT,"BUSINESS, FINANCE",2.3,2.7,Q2,83/231,4
Asian Review of World Histories,ASIAN REV WORLD HIS,HISTORY,0.1,0.2,Q3,327/518,4
Asian Social Work and Policy Review,ASIAN SOC WORK POLIC,SOCIAL WORK,1.3,1.2,Q2,45/91,4
Asian Spine Journal,ASIAN SPINE J,ORTHOPEDICS,2.3,2.3,Q2,38/136,3
Asian Studies Review,ASIAN STUD REV,CULTURAL STUDIES,1.2,1.6,Q2,17/59,3
Asian Studies-Azijske Studije,ASIAN STUD-AZIJSKE S,ASIAN STUDIES,0.3,0.4,N/A,N/A,4
ASIAN SURVEY,ASIAN SURV,AREA STUDIES,1.3,1,Q1,28/176,3
ASIAN THEATRE JOURNAL,ASIAN THEATRE J,THEATER,0.3,0.3,N/A,N/A,2
Asian Women,ASIAN WOMEN,WOMENS STUDIES,0.4,0.8,Q4,54/66,4
ASIANetwork Exchange-A Journal for Asian Studies in the Liberal Arts,ASIANETWORK EXCH,ASIAN STUDIES,<0.1,0.1,N/A,N/A,4
Asian-European Journal of Mathematics,ASIAN-EUR J MATH,MATHEMATICS,0.5,0.5,Q3,325/489,4
Asian-Pacific Economic Literature,ASIAN-PAC ECON LIT,ECONOMICS,1.1,1.1,Q3,366/597,4
Asian-Pacific Journal of Second and Foreign Language Education,ASIAN-PAC J SEC FOR,LINGUISTICS,1.5,1.7,Q2,81/297,3
Asia-Pacific Economic History Review,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asia-Pacific Education Researcher,ASIA-PAC EDUC RES,EDUCATION & EDUCATIONAL RESEARCH,3.6,3.6,Q1,48/756,2
Asia-Pacific Financial Markets,ASIA-PAC FINANC MARK,ECONOMICS,2.5,1.7,Q2,152/597,4
Asia-Pacific Journal of Accounting & Economics,ASIA-PAC J ACCOUNT E,ECONOMICS,1.4,1.5,Q3,308/597,4
Asia-Pacific Journal of Atmospheric Sciences,ASIA-PAC J ATMOS SCI,METEOROLOGY & ATMOSPHERIC SCIENCES,2.2,2.7,Q3,73/110,4
Asia-Pacific Journal of Business Administration,ASIA-PAC J BUS ADM,BUSINESS,3.3,3.6,Q2,122/302,3
Asia-Pacific Journal of Chemical Engineering,ASIA-PAC J CHEM ENG,"ENGINEERING, CHEMICAL",1.4,1.6,Q3,120/170,4
Asia-Pacific Journal of Clinical Oncology,ASIA-PAC J CLIN ONCO,ONCOLOGY,1.4,1.8,Q4,263/322,4
Asia-Pacific Journal of Financial Studies,ASIA-PAC J FINANC ST,"BUSINESS, FINANCE",1.8,2,Q2,113/231,4
Asia-Pacific Journal of Ocean Law and Policy,ASIA-PAC J OCEAN LAW,LAW,0.5,N/A,Q3,211/421,4
Asia-Pacific Journal of Oncology Nursing,ASIA-PAC J ONCOL NUR,NURSING,2.4,2.7,Q1,35/191,4
ASIA-PACIFIC JOURNAL OF OPERATIONAL RESEARCH,ASIA PAC J OPER RES,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,1.1,1.1,Q4,90/106,4
Asia-Pacific Journal of Ophthalmology,ASIA-PAC J OPHTHALMO,OPHTHALMOLOGY,3.7,3.9,Q1,13/95,2
Asia-Pacific Journal of Public Health,ASIA-PAC J PUBLIC HE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.4,1.6,Q3,295/403,4
Asia-Pacific Journal of Regional Science,ASIA-PAC J REG SCI,REGIONAL & URBAN PLANNING,1.9,1.5,Q3,39/54,4
Asia-Pacific Journal of Sport Medicine Arthroscopy Rehabilitation and Technology,ASIA-PAC J SPORT MED,SPORT SCIENCES,1.5,1.6,Q3,76/127,4
Asia-Pacific Journal of Teacher Education,ASIA-PAC J TEACH EDU,EDUCATION & EDUCATIONAL RESEARCH,1.4,2.3,Q2,328/756,4
Asia-Pacific Journal-Japan Focus,ASIA-PAC J-JPN FOCU,AREA STUDIES,0.2,0.2,Q4,138/176,4
Asia-Pacific Language Variation,ASIA-PAC LANG VAR,LINGUISTICS,0.2,N/A,Q4,254/297,4
Asia-Pacific Management Accounting Journal,ASIA-PAC MANAG ACCOU,"BUSINESS, FINANCE",0.3,0.3,Q4,209/231,4
Asia-Pacific Psychiatry,ASIA-PAC PSYCHIAT,PSYCHIATRY,2.8,3,Q2,105/276,4
Asia-Pacific Review,ASIA-PAC REV,INTERNATIONAL RELATIONS,0.3,0.6,Q4,141/165,4
Asia-Pacific Science Education,ASIA-PAC SCI EDUC,"EDUCATION, SCIENTIFIC DISCIPLINES",0.9,N/A,Q3,57/85,4
Asiascape-Digital Asia,ASIASCAPE,COMMUNICATION,1.8,N/A,Q2,76/227,3
Asiatic-IIUM Journal of English Language and Literature,ASIATIC,LITERATURE,0.3,0.2,N/A,N/A,4
Aslib Journal of Information Management,ASLIB J INFORM MANAG,INFORMATION SCIENCE & LIBRARY SCIENCE,2.4,2.5,Q2,46/160,4
ASME Journal of Heat and Mass Transfer,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASN Neuro,ASN NEURO,NEUROSCIENCES,3.9,4.3,Q2,92/310,4
Aspasia,ASPASIA,HISTORY,0.1,0.3,Q3,327/518,4
ASR Chiang Mai University Journal of Social Sciences and Humanities,ASR CHIANG MAI UNIV,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.1,0.2,Q4,235/263,4
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,ASSAY DRUG DEV TECHN,PHARMACOLOGY & PHARMACY,1.6,2.2,Q3,259/354,4
ASSEMBLY AUTOMATION,ASSEMBLY AUTOM,"ENGINEERING, MANUFACTURING",1.9,1.7,Q3,47/68,N/A
Assessing Writing,ASSESS WRIT,LINGUISTICS,4.2,4.8,Q1,6/297,1
ASSESSMENT,ASSESSMENT,"PSYCHOLOGY, CLINICAL",3.5,4.2,Q1,28/180,2
